Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Latitude,Longitude,Score,Zone,Meeting_Name,Details,Day,Start,End,Type,SpecialInterest
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House","undefined",Tuesdays,7:30 AM,8:30 AM,OD,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House","undefined",Wednesdays,7:30 AM,8:30 AM,OD,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House","undefined",Thursdays,7:30 AM,8:30 AM,OD,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House","undefined",Fridays,7:30 AM,8:30 AM,B,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House","undefined",Sundays,7:45 AM,8:45 AM,OD,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House","undefined",Saturdays,7:45 AM,8:45 AM,OD,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House","undefined",Fridays,5:30 PM,6:30 PM,B,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Tribeca Group @ St. Margaret's House","undefined",Fridays,7:30 PM,8:30 PM,S,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Tribeca Group @ St. Margaret's House","undefined",Saturdays,7:30 PM,8:30 PM,OD,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Tribeca Group @ St. Margaret's House","undefined",Tuesdays,7:30 PM,8:30 PM,BB,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Tribeca Group @ St. Margaret's House","undefined",Thursdays,7:30 PM,8:30 PM,B,undefined
"St. Peter's Church",22 Barclay Street,New York,NY,,"22 Barclay Street,Entrance on Church St. between Vesey & Barclay Streets NY",40.7125016,-74.0094639,97.3372781065089,01,"Gateway","undefined",Sundays,6:00 PM,7:00 PM,BB,undefined
"St. Peter's Church",22 Barclay Street,New York,NY,,"22 Barclay Street,Entrance on Church St. between Vesey & Barclay Streets NY",40.7125016,-74.0094639,97.3372781065089,01,"Tribeca Group @ St. Peter's Church","undefined",Mondays,7:45 PM,8:45 PM,S,undefined
"St. Peter's Church",22 Barclay Street,New York,NY,,"22 Barclay Street,Entrance on Church St. between Vesey & Barclay Streets NY",40.7125016,-74.0094639,97.3372781065089,01,"Tribeca Group @ St. Peter's Church","undefined",Wednesdays,8:00 PM,9:00 PM,OD,undefined
"Saint Peter's Church",22 Barclay Street,New York,NY,10007,"22 Barclay Street,Basement,Corner of Barclay & Church Streets,10007",40.7125016,-74.0094639,100,01,"S.o.b.e.r.","undefined",Thursdays,7:30 PM,8:45 PM,OD,undefined
"Hazelden Tribeca",283 West Broadway,New York,NY,10013,"283 West Broadway,Betw. Lispenard and Canal Streets,Ground Floor,Broadway Room,Enter through Green Door 10013",40.7144166,-73.9843646,94.792899408284,01,"Sane And Sober","undefined",Wednesdays,7:00 PM,8:00 PM,C,undefined
"Municipal Union Bldg DC 37",125 Barclay Street,New York,NY,10007,"125 Barclay Street,Betw. Greenwich Street & West Side Highway,NY 10007",40.7143477,-74.0130151,100,01,"Saturday Afternoon Discussion","undefined",Saturdays,2:00 PM,3:15 PM,OD,undefined
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seamen's Group","undefined",Tuesdays,6:00 PM,7:00 PM,S,undefined
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seaport","undefined",Thursdays,12:15 PM,1:15 PM,C,undefined
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seaport","undefined",Fridays,12:15 PM,1:15 PM,S,undefined
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seaport","undefined",Mondays,12:15 PM,1:15 PM,S,undefined
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seaport","undefined",Wednesdays,12:15 PM,1:15 PM,BB,undefined
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,Water & Fulton Streets,10038",40.7080393,-74.0042361,100,01,"Seaport","undefined",Tuesdays,12:15 PM,1:15 PM,B,undefined
"Church of Saint Andrew",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,10007",40.7132514,-74.002398,100,01,"Tower","undefined",Wednesdays,5:30 PM,6:30 PM,OD,undefined
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,94.792899408284,01,"Triangle Group","undefined",Sundays,11:00 AM,12:00 PM,C,undefined
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,94.792899408284,01,"Triangle Group","undefined",Fridays,12:30 PM,1:30 PM,BB,undefined
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,94.792899408284,01,"Triangle Group","undefined",Mondays,6:30 PM,7:30 PM,C,undefined
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,94.792899408284,01,"Triangle Group","undefined",Thursdays,6:30 PM,7:30 PM,C,undefined
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,94.792899408284,01,"Young People's Diversity","undefined",Wednesdays,8:30 PM,9:30 PM,C,undefined
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,94.792899408284,01,"Young People's Step","undefined",Tuesdays,7:45 PM,8:45 PM,C,undefined
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,94.792899408284,01,"Youth Enjoying Sobriety (Y.e.s.)","undefined",Saturdays,7:00 PM,8:15 PM,B,undefined
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,94.792899408284,01,"Afternoon Delight","undefined",Saturdays,12:00 PM,1:00 PM,C,undefined
"SRO Building",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,Lenox Avenue,NY 10027",40.8106798,-73.944244,100,08,"A Chance To Live Again","undefined",Wednesdays,6:00 PM,7:00 PM,BB,undefined
"SRO Building",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,Lenox Avenue,NY 10027",40.8106798,-73.944244,100,08,"A Chance To Live Again","undefined",Mondays,7:00 PM,8:00 PM,B,undefined
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,99.4674556213018,08,"Aa It Works  Ii","undefined",Wednesdays,10:00 AM,11:00 AM,B,undefined
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,99.4674556213018,08,"Aa It Works  Ii","undefined",Thursdays,10:00 AM,11:00 AM,BB,undefined
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,99.4674556213018,08,"Aa It Works  Ii","undefined",Fridays,10:00 AM,11:00 AM,S,undefined
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,99.4674556213018,08,"Aa It Works  Ii","undefined",Tuesdays,10:00 AM,11:00 AM,OD,undefined
"Our Lady of Lourdes Church",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,99.4674556213018,08,"Attitude Adjustment","undefined",Saturdays,7:30 AM,8:30 AM,OD,undefined
"Our Lady of Lourdes Church",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,99.4674556213018,08,"Reality Check","undefined",Saturdays,5:00 PM,6:00 PM,OD,undefined
"Our Lady of Lourdes Church",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,99.4674556213018,08,"Uptown Big Book Workshop","undefined",Saturdays,9:30 AM,11:00 AM,BB,undefined
"St. Phillip Church",204 West 134th Street,New York,NY,10030,"204 West 134th Street,1st Floor,Betw 7th & 8th Avenues,10030",40.8147959,-73.9448542,100,08,"Convent","undefined",Saturdays,11:30 AM,1:00 PM,OD,undefined
"Spiritual Renewal Church",2044 Adam Clayton Powell Blvd.,New York,NY,10027,"2044 Adam Clayton Powell Blvd.,122nd Street,NY 10027",40.8072583,-73.9499047,96.8673860076575,08,"Fellowship At Noon","undefined",Mondays,12:15 PM,1:15 PM,B,undefined
"Spiritual Renewal Church",2044 Adam Clayton Powell Blvd.,New York,NY,10027,"2044 Adam Clayton Powell Blvd.,122nd Street,NY 10027",40.8072583,-73.9499047,96.8673860076575,08,"Fellowship At Noon","undefined",Wednesdays,12:15 PM,1:15 PM,S,undefined
"Spiritual Renewal Church",2044 Adam Clayton Powell Blvd.,New York,NY,10027,"2044 Adam Clayton Powell Blvd.,122nd Street,NY 10027",40.8072583,-73.9499047,96.8673860076575,08,"Fellowship At Noon","undefined",Fridays,12:15 PM,1:15 PM,OD,undefined
