Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Meeting_Name,Day,Start,End,Type
Immanuel Lutheran Church,1296 Lexington Avenue,New York,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128",chapter five,Thursdays,7:15 AM,8:15 AM,OD
Immanuel Lutheran Church,1296 Lexington Avenue,New York,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128",chapter five,Fridays,7:15 AM,8:15 AM,OD
Immanuel Lutheran Church,1296 Lexington Avenue,New York,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128",chapter five,Sundays,8:00 AM,9:00 AM,OD
Immanuel Lutheran Church,1296 Lexington Avenue,New York,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128",chapter five,Saturdays,8:00 AM,9:00 AM,OD
Immanuel Lutheran Church,1296 Lexington Avenue,New York,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128",chapter five,Fridays,6:15 PM,7:30 PM,S
Immanuel Lutheran Church,1296 Lexington Avenue,New York,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128",chapter five,Sundays,7:00 PM,8:00 PM,C
Immanuel Lutheran Church,1296 Lexington Avenue,New York,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128",chapter five,Wednesdays,7:30 PM,9:00 PM,B
Immanuel Lutheran Church,1296 Lexington Avenue,New York,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128",chapter five,Thursdays,8:00 PM,9:15 PM,BB
All Souls Uniterian Church,1157 Lexington Avenue,New York,NY,10028,"All Souls Uniterian Church,1157 Lexington Avenue,1st Floor,@ East 80th Street,10028",fearless,Fridays,7:30 PM,8:30 PM,C
All Souls Uniterian Church,1157 Lexington Avenue,New York,NY,10028,"All Souls Uniterian Church,1157 Lexington Avenue,1st Floor,@ East 80th Street,10028",lex 80 step,Wednesdays,6:30 PM,7:30 PM,S
